timestamp,user_id,status,verified,work_code,raw_data
"2025-10-16 12:14:13","3470014","Masuk","1","0","3470014	2025-10-16 12:14:13	0	1	0	0	0	0	0	0"
"2025-10-16 12:14:49","4470004","Masuk","1","0","4470004	2025-10-16 12:14:49	0	1	0	0	0	0	0	0"
"2025-10-16 12:16:46","3470013","Masuk","1","0","3470013	2025-10-16 12:16:46	0	1	0	0	0	0	0	0"
"2025-10-16 12:16:49","3470013","Masuk","1","0","3470013	2025-10-16 12:16:49	0	1	0	0	0	0	0	0"
"2025-10-16 12:16:58","3470021","Masuk","1","0","3470021	2025-10-16 12:16:58	0	1	0	0	0	0	0	0"
"2025-10-16 12:17:32","3470001","Masuk","1","0","3470001	2025-10-16 12:17:32	0	1	0	0	0	0	0	0"
"2025-10-16 12:23:29","4470007","Masuk","1","0","4470007	2025-10-16 12:23:29	0	1	0	0	0	0	0	0"
"2025-10-16 12:23:42","3470002","Masuk","1","0","3470002	2025-10-16 12:23:42	0	1	0	0	0	0	0	0"
"2025-10-16 12:33:30","3470007","Masuk","1","0","3470007	2025-10-16 12:33:30	0	1	0	0	0	0	0	0"
"2025-10-16 12:37:12","3470017","Masuk","1","0","3470017	2025-10-16 12:37:12	0	1	0	0	0	0	0	0"
"2025-10-16 12:37:14","3470017","Masuk","1","0","3470017	2025-10-16 12:37:14	0	1	0	0	0	0	0	0"
"2025-10-16 12:37:22","3470003","Masuk","1","0","3470003	2025-10-16 12:37:22	0	1	0	0	0	0	0	0"
"2025-10-16 12:39:56","3470008","Masuk","1","0","3470008	2025-10-16 12:39:56	0	1	0	0	0	0	0	0"
"2025-10-16 12:40:05","4470009","Masuk","1","0","4470009	2025-10-16 12:40:05	0	1	0	0	0	0	0	0"
"2025-10-12 12:40:17","0","3470004","0","0","OPLOG 70	0	2025-10-12 12:40:17	3470004	0	0	0"
"2025-10-12 12:40:54","0","3470004","0","0","OPLOG 30	0	2025-10-12 12:40:54	3470004	0	0	0"
"2025-10-12 12:40:54","0","3470004","0","0","OPLOG 6	0	2025-10-12 12:40:54	3470004	0	0	0"
"2025-10-12 12:41:58","0","0","0","0","OPLOG 0	0	2025-10-12 12:41:58	0	0	0	0"
"2025-10-12 12:42:13","0","3470008","0","0","OPLOG 4	0	2025-10-12 12:42:13	3470008	0	0	0"
"2025-10-12 12:43:20","0","4470001","0","0","OPLOG 70	0	2025-10-12 12:43:20	4470001	0	0	0"
"2025-10-12 12:43:46","0","4470001","0","0","OPLOG 30	0	2025-10-12 12:43:46	4470001	0	0	0"
"2025-10-12 12:43:46","0","4470001","0","0","OPLOG 6	0	2025-10-12 12:43:46	4470001	0	0	0"
"2025-10-12 12:45:01","0","4470003","0","0","OPLOG 70	0	2025-10-12 12:45:01	4470003	0	0	0"
"2025-10-12 12:45:26","0","4470003","0","0","OPLOG 30	0	2025-10-12 12:45:26	4470003	0	0	0"
"2025-10-12 12:45:27","0","4470003","0","0","OPLOG 6	0	2025-10-12 12:45:27	4470003	0	0	0"
"2025-10-12 12:46:16","0","4470002","0","0","OPLOG 70	0	2025-10-12 12:46:16	4470002	0	0	0"
"2025-10-12 12:47:36","0","0","0","0","OPLOG 0	0	2025-10-12 12:47:36	0	0	0	0"
"2025-10-12 12:47:41","0","3470008","0","0","OPLOG 4	0	2025-10-12 12:47:41	3470008	0	0	0"
"2025-10-12 12:48:51","0","3470010","0","0","OPLOG 70	0	2025-10-12 12:48:51	3470010	0	0	0"
"2025-10-12 12:49:13","0","3470010","0","0","OPLOG 30	0	2025-10-12 12:49:13	3470010	0	0	0"
"2025-10-12 12:49:13","0","3470010","0","0","OPLOG 6	0	2025-10-12 12:49:13	3470010	0	0	0"
"2025-10-12 12:50:10","0","3470012","0","0","OPLOG 70	0	2025-10-12 12:50:10	3470012	0	0	0"
"2025-10-12 12:50:25","0","3470012","0","0","OPLOG 30	0	2025-10-12 12:50:25	3470012	0	0	0"
"2025-10-12 12:50:26","0","3470012","0","0","OPLOG 6	0	2025-10-12 12:50:26	3470012	0	0	0"
"2025-10-12 12:51:02","0","3470014","0","0","OPLOG 70	0	2025-10-12 12:51:02	3470014	0	0	0"
"2025-10-12 12:51:22","0","3470014","0","0","OPLOG 30	0	2025-10-12 12:51:22	3470014	0	0	0"
"2025-10-12 12:51:23","0","3470014","0","0","OPLOG 6	0	2025-10-12 12:51:23	3470014	0	0	0"
"2025-10-12 12:52:04","0","3470002","0","0","OPLOG 70	0	2025-10-12 12:52:04	3470002	0	0	0"
"2025-10-12 12:52:22","0","3470002","0","0","OPLOG 30	0	2025-10-12 12:52:22	3470002	0	0	0"
"2025-10-12 12:52:23","0","3470002","0","0","OPLOG 6	0	2025-10-12 12:52:23	3470002	0	0	0"
"2025-10-12 12:52:52","0","347017","0","0","OPLOG 70	0	2025-10-12 12:52:52	347017	0	0	0"
"2025-10-12 12:53:25","0","347017","0","0","OPLOG 30	0	2025-10-12 12:53:25	347017	0	0	0"
"2025-10-12 12:53:26","0","347017","0","0","OPLOG 6	0	2025-10-12 12:53:26	347017	0	0	0"
"2025-10-12 12:54:05","0","3470009","0","0","OPLOG 70	0	2025-10-12 12:54:05	3470009	0	0	0"
"2025-10-12 12:54:22","0","3470009","0","0","OPLOG 30	0	2025-10-12 12:54:22	3470009	0	0	0"
"2025-10-12 12:54:23","0","3470009","0","0","OPLOG 6	0	2025-10-12 12:54:23	3470009	0	0	0"
"2025-10-12 12:55:06","0","3470013","0","0","OPLOG 70	0	2025-10-12 12:55:06	3470013	0	0	0"
"2025-10-12 12:55:37","0","3470013","0","0","OPLOG 30	0	2025-10-12 12:55:37	3470013	0	0	0"
"2025-10-12 12:55:37","0","3470013","0","0","OPLOG 6	0	2025-10-12 12:55:37	3470013	0	0	0"
"2025-10-12 12:58:58","0","3470008","0","0","OPLOG 4	0	2025-10-12 12:58:58	3470008	0	0	0"
"2025-10-12 13:00:58","0","3470008","0","0","OPLOG 4	0	2025-10-12 13:00:58	3470008	0	0	0"
"2025-10-12 13:01:40","0","3470007","0","0","OPLOG 70	0	2025-10-12 13:01:40	3470007	0	0	0"
"2025-10-12 13:02:11","0","3470007","0","0","OPLOG 30	0	2025-10-12 13:02:11	3470007	0	0	0"
"2025-10-12 13:02:12","0","3470007","0","0","OPLOG 6	0	2025-10-12 13:02:12	3470007	0	0	0"
"2025-10-12 13:04:05","0","3470008","0","0","OPLOG 4	0	2025-10-12 13:04:05	3470008	0	0	0"
"2025-10-12 13:04:57","0","3470020","0","0","OPLOG 70	0	2025-10-12 13:04:57	3470020	0	0	0"
"2025-10-12 13:06:16","0","3470020","0","0","OPLOG 30	0	2025-10-12 13:06:16	3470020	0	0	0"
"2025-10-12 13:06:17","0","3470020","0","0","OPLOG 6	0	2025-10-12 13:06:17	3470020	0	0	0"
"2025-10-12 13:12:46","0","3470008","0","0","OPLOG 4	0	2025-10-12 13:12:46	3470008	0	0	0"
"2025-10-12 13:13:34","0","3470006","0","0","OPLOG 70	0	2025-10-12 13:13:34	3470006	0	0	0"
"2025-10-12 13:13:53","0","3470006","0","0","OPLOG 30	0	2025-10-12 13:13:53	3470006	0	0	0"
"2025-10-12 13:13:53","0","3470006","0","0","OPLOG 6	0	2025-10-12 13:13:53	3470006	0	0	0"
"2025-10-12 13:24:47","0","3470008","0","0","OPLOG 4	0	2025-10-12 13:24:47	3470008	0	0	0"
"2025-10-12 13:25:39","0","3470003","0","0","OPLOG 70	0	2025-10-12 13:25:39	3470003	0	0	0"
"2025-10-12 13:26:02","0","3470003","0","0","OPLOG 30	0	2025-10-12 13:26:02	3470003	0	0	0"
"2025-10-12 13:26:03","0","3470003","0","0","OPLOG 6	0	2025-10-12 13:26:03	3470003	0	0	0"
